ID,Title,"Title-English Translated"
1010,"कोइला खानी, कोइला उत्खनन ढुवानी र स्टोर गर्ने।","Coal mining, coal mining to transport and store."
1020,"लीग्नाइट (वाउन कोइला ) संकलन गर्ने , ढुवानी गर्ने , विकेट वनाउने","Lignaita (vauna coal) to collect, transport, wickets legalization"
1030,"पीटको उत्खनन् गर्ने , संकलन गर्ने","Pitako quarry, collect"
1110,"प्राकृतिक ग्यांस र कच्चा पेट्रोलको उत्खनन।","Natural gyansa and quarrying raw petrol."
1120,"सुल्क लिएर वा करारमा पेट्रोलियम पदार्थ वा ग्यांस उत्खन्न गर्ने वा ड्रीलिङ गर्ने ,पेट्रोलियम पदार्थकुवा को संरक्षण गर्ने, ड्रलीङका सामान आपूर्ति गर्ने ।","With fee or contract or petroleum products to exploration or drilina gyansa, petroleum padarthakuva to protect, dralinaka goods supply."
1200,"यूरेनियम वा थोरियमको धाउ उत्खनन् गर्ने","Uranium or thorium ore quarry"
1310,"फलामको धाउ (कच्चा फलाम) उत्खनन गर्ने।","Iron ore (cast iron) excavator."
1320,"गैह्र फलाम जन्य धातु जस्तै सुन,  चाँदी, तामा आलमोनियको उत्खनन गर्ने।","Made with non-ferrous metals such as gold, silver, copper alamoniyako excavator."
1410,"ढुङ्गा वालुवा, माटो चुन खरि आदिको उत्पादन गर्ने ।","Stone, sand, clay, etc. khari choose to produce."
1421,"रासायनिक र खनिज मल जस्तै सोडियम, नाइट्रिट, सल्फर उत्खनन गर्ने।","Chemical and mineral fertilizers such as sodium, naitrita, sulfur excavator."
1422,"खानीवाट वा सौर्य किरणवाट नून वनाउने , तालवाट वा प्रकृतिको तातो पानीवाट नून निकाल्ने काम","Khanivata or solar salt kiranavata predecessors, talavata or nature .God hot salt eviction"
1429,"नूनको उत्पादन गर्ने।","Salt production."
1511,"वध शाला सन्चालन, मासुको प्रशोधन गर्ने, हाड, छाला, उन आदिको उत्पादन गर्ने।","Slaughter house operation, processing of meat, bones, skin, those opposed to the production of."
1512,"माछाको मासु प्रशोधन गर्ने, प्याक गर्ने कार्यहरु।","Meat and fish processing, pack the works."
1513,"फलफूल र तरकारीको प्रशोधन, संरक्षण र प्याक गर्ने कार्यहरु।","Fruits and vegetables processing, preservation and pack functions."
1514,"तेल वोसो आदि उत्पादन गर्ने प्रतिष्ठानहरु / क्रृयाकलापहरु।","Voso oil production installations, etc. / krryakalapaharu."
1520,"दुग्ध पदार्थको प्रशोधन, धुलो दूधको उत्पादन, दुग्ध पदार्थवाट वन्ने अन्य वस्तुहरुको उत्पादन।","Dairy products processing, production of milk powder, milk production in other commodities padarthavata is impossible."
1531,"धान कुट्ने, गंहु, मकै पिस्ने, पिठो उत्पादन गर्ने मिलहरु / क्रृयाकलापहरु।","Rice, ganhu, maize milling, flour mills produce / krryakalapaharu."
1532,"स्टार्च, मकैको तेल, ग्लूकोज आदि उत्पादन गर्ने प्रतिष्ठानहरु वा क्रृयाकलापहरु।","Starch, maize oil, glucose, etc. or krryakalapaharu production installations."
1533,"पशु आहार वा पशु  दाना उत्पादन गर्ने प्रतिष्ठानहरु।","The animal feed or animal feed production installations."
1541,"पाउरोटी,केक, दुनेाट, विस्कुट आदि उत्पादन गर्ने क्रृयाकलापहरु।","Bread, cakes, duneata, biscuits etc. krryakalapaharu production."
1542,"चिनी, चाकु, खुदो, वनाउने क्रृयाकलापहरु।","Sugar, a knife, khudo, legalization krryakalapaharu."
1543,"कोका, मिठाई चुइगम आदि उत्पादन गर्ने क्रृयाकलापहरु।","Coca, sweet chewing gum, etc. krryakalapaharu production."
1544,"चाउ चाउ, म्याकरोनी, उत्पादन गर्ने क्रृयाकलापहरु।","Chow Chow, myakaroni, production krryakalapaharu."
1549,"चिया, कफि, मासुको सुप, कृत्रिम मह उत्पादन गर्ने क्रृयाकलापहरु।","Tea, coffee, meat, soup, artificial honey production krryakalapaharu."
1551,"अल्कोहल जन्य पदार्थहरु जस्तै   व्हीस्की , व्राण्डी , रक्सी , स्प्रीड, लिक्वाएर आदि वनाउने , स्याउ नास्पति आदि फलफूलवाठ रक्सी प्रशोधन गर्ने , ती वस्तुहरुमा लेवल लगाउने।","Alcohol accompanying materials such as whiskey, vrandi, alcohol, sprida, likvaera etc. predecessors, Apple naspati phalaphulavatha alcohol treatment, etc., to wear, they are level."
1552,"अंगुरवाट रक्सी वनाउने कृयाकलापहरु।","GBV activities are anguravata alcohol."
1553,"अन्नवाट जांड वा वियर उत्पादन गर्ने प्रतिष्ठान / क्रियाकलापहरु।","Annavata janda or beer production establishment / activities."
1554,"हल्का पेय पदार्थ जस्तै कोका कोला, मिरिण्डा, मिनरल वाटर उत्पादन गर्ने प्रतिष्ठान / क्रियाकलापहरु।","Soft drinks such as Coca-Cola, mirinda, mineral water production establishment / activities."
1600,"चुरोट विडी खैनी जस्ता सुर्ति जन्य पदार्थको उत्पादन गर्ने प्रतिष्ठान / क्रियाकलापहरु।","Vidi chewing tobacco cigarettes, such as the production of viral establishment / activities."
1711,"धागो कात्ने र कपडा वुन्ने  प्रतिष्ठान / क्रियाकलापहरु।","Spinning and textile vunne establishment / activities."
1712,"कपडा रंगाउने , कपडामा चित्र छाप्ने , कपडा प्याक गर्ने।","Textile dye, textile printing image, textile pack."
1721,"पाल, कम्वल, सिरक, डसना, पर्दा सिलिपिङ्गव्याग उत्पादन गर्ने प्रतिष्ठान / क्रियाकलापहरु।","Tent, blanket, blankets, mattresses, curtains silipingavyaga production establishment / activities."
1722,"कार्पेट, रग, म्याट आदि उत्पादन गर्ने प्रतिष्ठान / क्रियाकलापहरु।","Carpet, Color, Matt, etc. produced by the establishment / activities."
1723,"डोरी, नाम्लो, सुतली, जाली आदिको उत्पादन गर्ने प्रतिष्ठान / क्रियाकलापहरु।","Rope, namlo, twine, netting, etc are produced to the establishment / activities."
1729,"कपडाको ब्वाच वा विल्ला वनाउने , नेपाली महिलाले लगाउने धागो , रीवन , इम्व्राइडरी , धातुको धागो , प्लाष्टिकको धागो उत्पादन गर्ने।","Bvaca cloth or Villa predecessors, Nepali women wear scarlet, rivana, imvraidari, metal thread, a plastic thread production."
1730,"कपडाको जाली , टी सर्ट , जर्सी , सुइटर आदि वुन्ने , सीरानी  तन्ना आदिमा फेवरीक पेन्टीङ गर्ने।","Cloth mesh, T-shirts, jerseys, etc. vunne suitara, blew a sheet phevarika pentina the beginning."
1810,"टेलरिङ सप जस्तै चोलो , कमीज , पाइण्ट , कोट , टोप , टाई आदि सिलाउने कृयाकलापहरु।","As noted telarina blouse, shirt, painta, coat, hat, tie, etc. activities are sewn."
1820,"भूवादार कपडाको संगरोगन र कांटछांट गर्ने  जस्तै   रग , म्याट , ज्याकेट आदि रंगाउने कृयाकलापहरु।","Bhuvadara sangarogana linen and the like cutouts vein, Matt, jacket, etc. activities are a painter."
1911,"छालाका सामान रंगाउने र काटछाट गर्ने जस्तै   छाला रंगाउने , काटछाट गर्ने , छालको सिट तयार गर्ने।","Leather goods such as leather dye to dye and katachata, katachata to, prepare waters seats."
1912,"छालाको व्याग, सुटकेश उत्पादन गर्ने।","Vyaga skin, suitcase production."
1920,"जुत्ता वा चप्पल उत्पादन गर्ने प्रतिष्ठान / क्रियाकलापहरु।","Shoes or slippers production establishment / activities."
2010,"काठ चिर्ने तथा रण्डा लगाउने प्रतिष्ठान वा क्रियाकलापहरु।","Sawmill and randa wear establishments or activities."
2021,"काठका पाताला सामान बनाउने जस्तै  काठका पातला फल्याक वनाउने , काठका पातला टुक्रा मिलाएर वोर्ड वनाउने लेमिनेटेड कार्ड बनाउने कृयाकलापहरु","Thin wooden planks to make goods such as wood, patala predecessors, thin pieces of wood together to make board GBV activities are laminated card"
2022,"काठका झया्ल, ढोका, भर्‍याङ (फर्निचर वाहेक) वनाउने प्रतिष्ठान / क्रियाकलापहरु।",".many Wood, door, ladder (except furniture) legalization of the establishment / activities."
2023,"काठका भाँडा, ठेकी, ड्रम आदि उत्पादन गर्ने प्रतिष्ठान / क्रियाकलापहरु।","Timber vessels, Theki, drums, etc. produced by the establishment / activities."
2029,"सुकुल, चकटी, काठका जुत्ता आदि उत्पादन गर्ने प्रतिष्ठान / क्रियाकलापहरु।","Sukul, pedals, shoes, etc., to produce wooden establishment / activities."
2101,"कागज, पेपरवोर्ड, उत्पादन गर्ने प्रतिष्ठान / क्रियाकलापहरु।","Paper, peparavorda, production establishment / activities."
2102,"कागजको वाकस, आदि वनाउने उत्पादन गर्ने प्रतिष्ठान / क्रियाकलापहरु।","Vakasa paper, etc., as vehicle production establishment / activities."
2109,"कार्वन पेपर, ट्रेसिङ्ग पेपर, ट्वाईलेट पेपर, नेपकिन पेपर, कप प्लेट आदि उत्पादन गर्ने प्रतिष्ठान / क्रियाकलापहरु।","Carbon paper, tresinga paper, tvaileta paper, paper napkins, cup, plate, etc. produced by the establishment / activities."
2211,"पुस्तक, नक्शा, एटलस अदि प्रकाशन गर्ने प्रतिष्ठान / क्रियाकलापहरु।","Book, map, atlas, etc publishing the establishment / activities."
2212,"समाचार पत्र, पत्रिका कार्टुन प्रकाशित गर्ने प्रतिष्ठान / क्रियाकलापहरु।","Newspaper, magazine published a cartoon of the establishment / activities."
2213,"अडियो क्यासेट प्रकाशित गर्ने प्रतिष्ठान / क्रियाकलापहरु।","The firm published an audio cassette / activities."
2219,"फोटो, पोष्टकार्ड, चित्र आदि प्रकाशित गर्ने प्रतिष्ठान / क्रियाकलापहरु।","Photos, postcards, pictures, etc. to publish the establishment / activities."
2221,"अखवार, किताव, चेक, नोट, राजश्व टिकट, हुलाक टिकट छाप्ने प्रतिष्ठान / क्रियाकलापहरु।","Journal, book, check, notes, revenue stamps, postage stamps printing establishment / activities."
2222,"इलेक्ट्रो टाइपिङ्ग, पिन्ट्रीङ्ग ल्पेट, रवर स्ट्याम्प निकाल्ने प्रतिष्ठान / क्रियाकलापहरु।","Electro Typing, pintringa lpeta, ravara Stamp Out establishment / activities."
2230,"स्रव्य दृश्य टेप, फ्ल्पी, फिल्म डुप्लिकेटिङ्ग निकाल्ने प्रतिष्ठान / क्रियाकलापहरु।","Sravya scene tape, phlpi, film dupliketinga out establishment / activities."
2320,"पेट्रोलीयम पदार्थको रिफाइन गर्ने जस्तै   तरल इन्धन तयार गर्ने  कृयाकलापहरु","The liquid fuel such as petroleum refinery activities are to prepare"
2411,"आधारभूत रसायन तयार गर्ने जस्तै   इनरजेनिक एसिड ,","Prepare basic chemicals such as acid inarajenika,"
2412,"रसायनिक मल जस्तै  ड्राइ यूरिया , नाइट्रोजन कम्पाउण्ड , एमोनिया आदि बनाउने कृयाकलापहरु।","Dry chemical fertilizers such as urea, nitrogen compounds, ammonia, etc. activities are making."
2413,"कच्चा प्लायष्टक , सेन्थेठिक र रबर जस्तै  पोलीकार्वोनेट , प्राकृतिक रबर,सेन्थेटिक रबर बनाउने कृयाकलापहरु","Raw playastaka, senthethika and rubber polikarvoneta like, natural rubber, Synthetic rubber-making activities are"
2421,"किटनाशक औषधी, कृषि जन्य रासायनिक पदार्थ उत्पादन गर्ने प्रतिष्ठान / क्रियाकलापहरु।","Pesticides, medicines, establishment of agricultural production of a chemical / activities."
2422,"रङ, वार्निस, इनामेल, चक आदि उत्पादन गर्ने क्रियाकलापहरु","Color, varnisa, enamel, Chuck production activities, etc."
2423,"औषधी वनाउने क्रियाकलापहरु","Drug legalization activities"
2424,"सावुन, टुथपेष्ट, स्याम्पु, पालिस, अत्तर आदि उत्पादन गर्ने क्रियाकलापहरु","Gypsum, tuthapesta, shampoo, polish, perfume etc., to activities"
2429,"अन्य रसायनिक बस्तुहरुको उत्पाद जस्तै विष्फोक पदार्थ, फोटो धुलाउने रसायन, लेख्ने र छाप्ने मसी, आयोडिन युक्त नून बनाउने कृयाकलापहरु।","Visphoka area with other chemical products such as foods, photo dhulaune Chemicals, write and printing ink, salt with iodine activities are making."
2430,"सिन्थेटिक, नाइलन, पोलिष्टर आदिको कृत्रिम रेशा वनाउने क्रियाकलापहरु","Synthetic, nylon, polyester synthetic fiber, etc. GBV activities"
2511,"रवरका टायर, ट्यूव उत्पादन गर्ने र रिसोलिङ्ग गर्ने प्रतिष्ठान तथा क्रियाकलापहरु","Ravaraka tires, tyuva production and the establishment and activities risolinga"
2519,"पाइप, रवर कार्पेट, जुत्ताका तलुवा उत्पादन गर्ने क्रियाकलापहरु","Pipe, ravara carpet, shoes thongs production activities"
2520,"प्लाष्टिकका भाँडा वर्तन, टेवल कुर्सि, झ्याल, ढोका, फर्निचर, झोला आदि वनाउने क्रियाकलापहरु","Plastic pots pottery, table chair, windows, doors, furniture, bags, etc. GBV activities"
2610,"शिशा तथा काँचका वोतल, प्लेट, ऐना, चुरा, टेवुलमा राख्ने शिशा आदि वनाउने क्रियाकलापहरु","Glass and pretty votala, plates, mirrors, bracelets, glass, etc. who enjoy another GBV activities"
2691,"माटाका भाँडाहरु, माटाका मुर्तिहरु, माटाका गहनाहरु आदि उत्पादन गर्ने क्रियाकलापहरु।","Clay pots, clay idols, pottery production, etc. The activities adorning."
2692,"माटाका इँटा, टायल, पाइपहरु आदि उत्पादन गर्ने क्रियाकलापहरु।","Clay bricks, tiles, pipes, etc. The activities produce."
2693,"विषेश प्रकारका इट , टाएल , माटाको चुलो , व्लक आदि बनाउने कृयाकलापहरु।","It kind of special, tile, earthen stoves, vlaka etc. activities are making."
2694,"सिमेन्ट, चुन, प्लाष्टर, आदि उत्पादन गर्ने क्रियाकलापहरु।","Cement, select, plastara, etc., to activities."
